id,valence,activation
1,0.34956342,0.34956342
2,0.33190566,0.33190566
3,0.30484614,0.30484614
4,0.30484614,0.30484614
5,0.30484614,0.30484614
6,0.30484614,0.30484614
7,0.27905935,0.27905935
8,0.27905935,0.27905935
9,0.2888644,0.2888644
10,0.35868254,0.35868254
11,0.35868254,0.35868254
12,0.35868254,0.35868254
13,0.35868254,0.35868254
14,0.41967598,0.41967598
15,0.41967598,0.41967598
16,0.46448693,0.46448693
17,0.46448693,0.46448693
18,0.46448693,0.46448693
19,0.46448693,0.46448693
20,0.4934754,0.4934754
21,0.4934754,0.4934754
22,0.50989646,0.50989646
23,0.5194258,0.5194258
24,0.5194258,0.5194258
25,0.5194258,0.5194258
26,0.5194258,0.5194258
27,0.52866054,0.52866054
28,0.5377115,0.5377115
29,0.5377115,0.5377115
30,0.5377115,0.5377115
31,0.5450043,0.5450043
32,0.5450043,0.5450043
33,0.5503013,0.5503013
34,0.5503013,0.5503013
35,0.554711,0.554711
36,0.55890405,0.55890405
37,0.55890405,0.55890405
38,0.55890405,0.55890405
39,0.55890405,0.55890405
40,0.5624463,0.5624463
41,0.565046,0.565046
42,0.565046,0.565046
43,0.565046,0.565046
44,0.565046,0.565046
45,0.565046,0.565046
